address,lat,lon
"Алтайский край г. Бийск, ул. В. Максимовой, 13",52.53303607,85.1870924234
"Алтайский край Михайловский район, с. Михайловское, ул. К. Маркса, д. 41",51.8226203918,79.7223815918
"Алтайский край Михайловский район, с. Михайловское, ул. К. Маркса, д. 13",51.823338793000005,79.7162389755
"Алтайский край Рубцовский район, п. Мичуринский, ул. Центральная, 38",51.462831043,81.1559146643
"Алтайский край г. Барнаул, ул. Аванесова, 132",53.3098137733,83.7760949135
"Хабаровский край город Хабаровск, ул.Советская, 52",48.491077355600005,135.057474375
"Хабаровский край город Хабаровск, ул. Мухина, 6",48.4778594971,135.08190918
"Хабаровский край город Хабаровск, ул. Тихоокеанская, 136, аудит. 223 п",48.531405677399995,135.052442551
"Хабаровский край город Хабаровск, ул. З. Космодемьянской, 26",48.558623708,135.0338763
"Архангельская область г. Архангельск, ул. Центральная, 28",64.4574603755,40.778321027800004
"Архангельская область г. Архангельск, ул. Партизанская, 51",64.6029439404,40.5918216705
"Архангельская область г. Архангельск, пер. 1-й Банный, 2",64.5718708416,40.5194556713
"Архангельская область г. Архангельск, ул. Смольный Буян, 18 корп.2",64.5306647376,40.5761361122
"Архангельская область г. Архангельск, ул. Воронина В.И., 37 корп.4",64.5091656616,40.6725561619
"Архангельская область г. Архангельск, ул. Тимме, 1",64.5410308838,40.5679321289
"Архангельская область г. Архангельск, пр. Ленинградский, 324",64.5006027222,40.6832046509
"Архангельская область г. Архангельск, ул. Севстрой, 2",64.5277925584,40.350814461700004
"Архангельская область г. Архангельск, ул. 100-й дивизии, 12",64.45601469,40.6322693825
"Архангельская область г. Архангельск, ул. Сурповская, 26",64.5165634155,40.5474510193
"Архангельская область г. Архангельск, ул. Терехина, 3",64.5775756836,40.510150909400004
"Архангельская область г. Архангельск, ул. Кирпичного завода, 27",64.54735565189999,40.3298950195
"Архангельская область г. Архангельск, пр. Новгородский, 28",64.5329737965,40.5560570955
"Архангельская область г. Архангельск, пр. Новгородский, 34 корп. 2",64.5352849666,40.5511218309
"Архангельская область г. Архангельск, пр. Дзержинского, 23",64.5564372192,40.5644607544
"Архангельская область г. Архангельск, пр. Обводный канал, 145 корп. 1.",64.5631212522,40.558991432199996
"Архангельская область г. Архангельск, ул. Садовая, 61",64.549471582,40.5438842773
"Архангельская область г. Архангельск, пр. Троицкий, 93",64.5505079622,40.5188280344
"Архангельская область г. Архангельск, ул. Менделеева, 19",64.6424865723,40.541973114
"Архангельская область г. Архангельск, пл. В.И. Ленина, 1",64.5409282887,40.5159151554
"Архангельская область г. Архангельск, ул.23-й Гвардейской дивизии, 9",64.5461604248,40.5698509216
"Архангельская область г. Архангельск, набережная Г. Седова, 14",64.5798187256,40.5011863708
